name,type,neighborhood
Casa Miquel Cal Millas,Patrimonio cultural,la Vila de Gracia
Casa Marti Trias i Domenech,Patrimonio cultural,la Salut
Casa Manuel Colchero,Patrimonio cultural,el Camp d'en Grassot i Gracia Nova
Casa Madurell,Patrimonio cultural,la Vila de Gracia
Casa Josep Castello,Patrimonio cultural,la Vila de Gracia
Casa Jose de Ugarte,Patrimonio cultural,la Vila de Gracia
Casa Joan Matas,Patrimonio cultural,la Vila de Gracia
Casa Gusta,Patrimonio cultural,el Camp d'en Grassot i Gracia Nova
Casa Girona i Cuyas,Patrimonio cultural,la Vila de Gracia
Casa Gaspar Gali,Patrimonio cultural,la Vila de Gracia
Casa Francesc Cama,Patrimonio cultural,la Vila de Gracia
Casa Feliu Iglesies,Arquitectura,la Vila de Gracia
Casa F. Homet,Patrimonio cultural,la Vila de Gracia
Casa Eudald Obradors,Patrimonio cultural,Vallcarca i els Penitents
Casa Enric Cera,Patrimonio cultural,la Vila de Gracia
Casa Eloy Detouche,Patrimonio cultural,el Camp d'en Grassot i Gracia Nova
Casa Elisa Bremon d'Espina,Patrimonio cultural,la Vila de Gracia
Casa Cortina,Patrimonio cultural,Vallcarca i els Penitents
Casa Concepcio i Casa Comelles,Patrimonio cultural,la Vila de Gracia
Casa Claudi Alsina,Patrimonio cultural,el Putxet i el Farro
Casa Castellet,Patrimonio cultural,la Vila de Gracia
Casa Cama i Escurra,Patrimonio cultural,la Vila de Gracia
Casa Barange,Patrimonio cultural,Vallcarca i els Penitents
Casa Anoll,Patrimonio cultural,la Vila de Gracia
Casa Agusti Trulla,Patrimonio cultural,la Vila de Gracia
Edifici d'habitatges Gran de Gracia 74*76,Patrimonio cultural,la Vila de Gracia
Edifici d'habitatges Gran de Gracia 67,Patrimonio cultural,la Vila de Gracia
Can Tusquets,Patrimonio cultural,la Salut
Can Trilla,Patrimonio cultural,la Vila de Gracia
Can Pardal,Patrimonio cultural,la Vila de Gracia
Can Muntaner de Dalt,Patrimonio cultural,la Salut
Can Mora,Masias,el Carmel
Academia Blancafort - Antiga Editorial Segui,Patrimonio cultural,la Vila de Gracia
Cases Blanques,Espacios urbanos,Montbau
Carrer Aiguafreda,Espacios urbanos,Horta
Federacio de Comerç Cor d'Horta,Para ir a comprar,Horta
Casa Pares,Patrimonio cultural,Sant Pere
Casa Sarriera,Patrimonio cultural,el Barri Gotic
Casa Fabrica Guell-Ramis,Patrimonio cultural,el Barri Gotic
Esglesia Antic Institut Mental,Arquitectura,la Guineueta
Can Valent,Patrimonio cultural,Porta
Unio de Cooperatives per a la Fabricacio de Pastes per a Sopa,Patrimonio cultural,el Raval
El Pla de Palau,Espacios urbanos,Sant Pere
L'Hortet del Forat,Espacios naturales,Sant Pere
La Maquinista Terrestre i Maritima,Espacios urbanos,la Barceloneta
El Vapor  - Fabrica Bonaplata,Patrimonio cultural,el Raval
Cooperativa Obrera Popular Segle XX,Patrimonio cultural,la Barceloneta
Casa -Fabrica Vermell-Marti,Patrimonio cultural,Sant Pere
Carrer de la Riereta,Espacios urbanos,el Raval
Antiga Subcentral Electrica de la Barceloneta,Patrimonio cultural,la Barceloneta
Antiga Foneria de Canons,Patrimonio cultural,el Barri Gotic
Casa Sant Felip Neri,Patrimonio cultural,les Tres Torres
Espai Bombers Parc de la Prevencio de Barcelona,Museos,el Poble Sec
La Sardineta. Grup d'Ecoconsum de la Barceloneta,Para ir a comprar,la Barceloneta
Antiga Fabrica d'Estampacio Textil Can Ricart,Espacios de estudio e investigacion,Provençals del Poblenou
Mirador Joan Sales i Valles,Espacios naturales,Sarria
Associacio d'Emprenedors del Clot - Eix Clot,Para ir a comprar,el Camp de l'Arpa del Clot
Canodrom Parc de Recerca Creativa,Patrimonio cultural,el Congres i els Indians
La Casa de l'Aigua,Patrimonio cultural,la Trinitat Nova
La Plaça Reial,Patrimonio cultural,el Barri Gotic
Residencia Salesiana Marti Codolar,Patrimonio cultural,la Vall d'Hebron
Seu de lAntiga Hidroelectrica de Catalunya,Patrimonio cultural,el Fort Pienc
antic Edifici de Catalana de Gas i Electricitat,Patrimonio cultural,el Barri Gotic
Bar Mestres,Bares y cafeterias,les Tres Torres
Casa Bartomeu,Patrimonio cultural,Pedralbes
Cases modernistes del carrer de Sants,Patrimonio cultural,Sants
Casa Domenech i Estapa,Patrimonio cultural,la Dreta de Eixample
Capella dels Segadors,Patrimonio cultural,Sant Andreu
Refugi Antiaeri 977 (Matanzas / Pinar del Rio),Espacios urbanos,el Congres i els Indians
La Diagonal,Patrimonio cultural,la Maternitat i Sant Ramon
Plaça de les Dones del 36,Espacios urbanos,la Vila de Gracia
Casa de la Lactancia,Patrimonio cultural,la Nova Esquerra de l'Eixample
Casa Doctor Genove,Patrimonio cultural,el Raval
Camisseria Bonet,Para ir a comprar,el Barri Gotic
Can Culleretes,Patrimonio cultural,el Barri Gotic
Casa Almirall,Patrimonio cultural,el Raval
El passatge de lEsperança,Patrimonio cultural,Vilapicina i la Torre Llobeta
Can Carreras,Patrimonio cultural,Can Peguera
L'Aqueducte del Parc Central de Nou Barris,Patrimonio cultural,la Guineueta
El Tunel de la Rovira,Espacios urbanos,el Carmel
El barri de la Clota,Espacios urbanos,la Clota
El pont de Muhlberg,Espacios urbanos,Can Baro
Casa de la Marina,Patrimonio cultural,la Barceloneta
El carrer de Campoamor,Espacios urbanos,Horta
Plaça del Nord,Ocio y tiempo libre,la Vila de Gracia
Plaça de Rovira i Trias,Espacios urbanos,la Vila de Gracia
Casa Queralt,Patrimonio cultural,el Coll
Casa Comas d' Argemir,Patrimonio cultural,Vallcarca i els Penitents
La plaça de Sant Vicenç,Espacios urbanos,Sarria
Diposit del Rei Marti,Ocio y tiempo libre,Sant Gervasi - la Bonanova
El passatge de Mallofre,Espacios urbanos,Sarria
El carrer de Canet,Espacios urbanos,Sarria
Cristalleries Planell,Espacios urbanos,les Corts
Casa Antoni Costa,Patrimonio cultural,la Dreta de Eixample
Casa Casas-Carbo,Patrimonio cultural,la Dreta de Eixample
Casa Vallet i Xiro,Patrimonio cultural,la Dreta de Eixample
Cases Pascual i Pons,Patrimonio cultural,la Dreta de Eixample
Casa Granell *Balmes,Patrimonio cultural,l'Antiga Esquerra de l'Eixample
Casa Santurce,Patrimonio cultural,la Dreta de Eixample
Casa Jaume Forn,Patrimonio cultural,la Dreta de Eixample
Cases Josefa Villanueva,Patrimonio cultural,la Dreta de Eixample
Casa Queralto,Patrimonio cultural,la Dreta de Eixample
Casa Juncosa,Patrimonio cultural,la Dreta de Eixample
Casa Fargas,Patrimonio cultural,la Dreta de Eixample
Casa Dolors Calm,Patrimonio cultural,la Dreta de Eixample
Casa Pomar,Patrimonio cultural,la Dreta de Eixample
Forn de la Concepcio,Patrimonio cultural,la Dreta de Eixample
Casa Malagrida,Patrimonio cultural,la Dreta de Eixample
Cases Francesc Farreras,Patrimonio cultural,Sant Antoni
Casa Granell *Girona,Patrimonio cultural,la Dreta de Eixample
Cases Rocamora,Patrimonio cultural,la Dreta de Eixample
Casa Llorenç Camprubi,Patrimonio cultural,la Dreta de Eixample
Casa Estape,Patrimonio cultural,el Fort Pienc
Plaça Eivissa,Espacios urbanos,Horta
Pla de Montbau,Espacios urbanos,Montbau
Plaça del Nen de la Rutlla,Espacios urbanos,el Guinardo
Masia de Can Baro,Patrimonio cultural,Can Baro
Ca l'Artes,Patrimonio cultural,el Turo de la Peira
Can Mazantini,Patrimonio cultural,Sant Andreu
Les Carasses,Patrimonio cultural,Sant Andreu
Xemeneia de Can Galta Cremat,Espacios urbanos,Sant Andreu
Plaça Masadas,Espacios urbanos,la Sagrera
Casa Vidal,Patrimonio cultural,Sant Andreu
